X,Y,TYPE
4.029586,48.323585,1ere-classe
4.130599,48.231197,1ere-classe
4.883785,44.89821,1ere-classe
3.473089,50.377975,1ere-classe
3.424253,50.319075,1ere-classe
-2.721298,47.668016,1ere-classe
2.060891,48.797903,1ere-classe
3.407109,46.121002,1ere-classe
2.11166,47.215125,1ere-classe
2.218162,48.68539,1ere-classe
2.445481,48.761113,1ere-classe
2.553437,48.961822,1ere-classe
2.383865,48.677206,1ere-classe
1.860797,50.097927,Formula1
2.060983,48.966825,Formula1
0.601162,44.163565,Formula1
5.525587,43.492621,Formula1
6.387369,45.661373,Formula1
2.15882,43.943023,Formula1
0.116562,48.448576,Formula1
2.372697,49.865677,Formula1
-0.63461,47.466393,Formula1
-0.515562,47.471181,Formula1
0.175751,45.693168,Formula1
6.13308,45.942487,Formula1
6.312565,46.225178,Formula1
7.06209,43.602384,Formula1
2.309834,50.724709,Formula1
2.814429,50.281976,Formula1
2.463611,48.957326,Formula1
2.475216,48.945768,Formula1
3.548866,47.851567,Formula1
4.789574,43.92887,Formula1
4.888634,43.984879,Formula1
4.733438,43.959342,Formula1
-1.347631,48.649279,Formula1
-1.454085,43.490155,Formula1
4.852767,46.999047,Formula1
2.108401,49.410894,Formula1
6.877821,47.640786,Formula1
6.844297,47.62589,Formula1
5.981919,47.218462,Formula1
5.99251,47.284918,Formula1
2.612236,50.512154,Formula1
2.684879,50.513781,Formula1
3.245305,43.347791,Formula1
1.326934,47.613167,Formula1
1.370753,47.574122,Formula1
4.742212,44.286593,Formula1
-0.686164,44.838005,Formula1
-0.49334,44.866851,Formula1
-0.514731,44.88273,Formula1
-0.64189,44.887332,Formula1
-0.587659,44.784486,Formula1
-0.541979,44.829887,Formula1
1.645447,50.726502,Formula1
5.203413,46.180031,Formula1
2.332698,47.044648,Formula1
-4.445366,48.431629,Formula1
-4.354084,48.383969,Formula1
2.297855,48.625947,Formula1
2.598434,48.702814,Formula1
6.052929,43.408762,Formula1
1.482402,45.166956,Formula1
-0.30923,49.159633,Formula1
-0.396145,49.197775,Formula1
1.424829,44.45893,Formula1
1.798099,50.931024,Formula1
3.194197,50.174356,Formula1
2.407824,43.205142,Formula1
2.163888,49.053237,Formula1
2.085169,49.046155,Formula1
